channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_title,latest_video_url,latest_video_views,latest_video_published_at
UCk2uxbWi5py_iJXaEsh2YRA,Spoke,Trending,1640000,175636095,96,8,1016522.88,1133162.5,8031.88,19.94,0.0291,107.0952,I Almost Got BANNED from the Unstable SMP...,https://www.youtube.com/watch?v=rmaDqwFVD0I,1214315,2025-12-09T14:01:35+00:00
UCyNzZ1wgkOWkzYE0zbs7zhA,Jynxzi Live,Trending,1570000,482769251,751,8,673724.0,661250.5,2382.62,2.46,0.0225,307.4963,Trying My Viewers Awful Clash Royale Decks,https://www.youtube.com/watch?v=LmisGVpmosg,228952,2025-12-10T00:22:09+00:00
UC0sEIyXXalzD1lbwm3D2xpA,RuPaul's Drag Race,Trending,1520000,1793316646,2746,8,35339.38,22543.0,28.75,0.97,0.0378,1179.8136,RuPaul’s Drag Race Season 18 🌟 Official Trailer,https://www.youtube.com/watch?v=pYgJZarzKxE,131078,2025-12-09T16:59:48+00:00
UCeBPTBz1oRnsWsUBnKNNKNw,Joe Bart Games,Trending,1300000,283007757,474,8,267102.12,232338.5,4053.5,1.1,0.0322,217.6983,The Bingo Bro V Bro Challenge,https://www.youtube.com/watch?v=nloMgl-ff3c,100704,2025-12-09T21:59:26+00:00
UCnepIUw_tvOatokJAB1yipA,MandJTV Plays,Trending,1190000,279822998,211,8,646256.62,699309.5,4622.5,38.58,0.0376,235.1454,"Pokémon Legends: Z-A, but I'm Team Sky",https://www.youtube.com/watch?v=VHx0-ZQUxMI,289010,2025-12-09T13:41:15+00:00
UC4CNA-IWaoPkPAXmovSJbCQ,Gseven Records,Trending,1110000,69533500,765,8,56679.88,9299.0,252.25,1.0,0.0056,62.6428,Ricky Martin - Livin' La Vida Loca (Lyrics),https://www.youtube.com/watch?v=qkTDyNWjs-g,85,2025-12-10T12:31:21+00:00
UCCo6EC0MOfJSnHbD3LI6iFA,spoonkid2,Trending,1090000,485201426,581,8,357487.88,354408.0,5770.38,7.62,0.0288,445.1389,they left every single door open,https://www.youtube.com/watch?v=qKhpBwjvgR8,71425,2025-12-10T05:23:24+00:00
UCPg-XofllkL7388IpY1msBA,Lady Luck HQ,Trending,1050000,771626790,4021,8,253705.75,207447.0,1506.38,0.54,0.0424,734.8827,The Moment I Saw TRIPLE MAJOR I Knew We Won SIX-FIGURES!!,https://www.youtube.com/watch?v=OQkxwHFC4oc,215790,2025-12-09T21:30:04+00:00
UCWzmOSSiSPbVnVu3ZAyDx2w,Marvel Rivals,Trending,1030000,216380607,506,8,346055.12,225941.5,104.12,0.88,0.0748,210.0783,"Alone in the wild, unstoppable in the fight | Savage South Costume Reveal | #MarvelRivals",https://www.youtube.com/watch?v=jO2bMYOGZyM,231629,2025-12-09T20:00:45+00:00
UClG1AcuVOU5Cn-ivHm3JRoA,The Cosmic Wonder,Trending,985000,430312844,3341,8,42516.0,34089.5,622.38,0.87,0.0479,436.8658,BREAKING! AVENGERS DOOMSDAY LEAKED TRAILER DETAILS & CAMEOS,https://www.youtube.com/watch?v=LcRoiPSYNDk,39859,2025-12-09T21:44:09+00:00
UChK0KzE7fazKdo4IfLBk9RQ,SMii7Yplays,Trending,985000,69803584,63,8,483381.75,526879.5,4623.38,7.31,0.0456,70.8666,This Game is Nothing but Rage Bait,https://www.youtube.com/watch?v=K8iIChVrFl4,307279,2025-12-09T23:13:00+00:00
UCiDzN_KnO_cQ1ss1Y1gxb5g,imferse - ,Trending,925000,530003865,874,8,20397.0,2204.0,205.75,1.01,0.012,572.9772,"Ryan Castro ""Richy"" & SOG - Mi Fortuna (Letra)",https://www.youtube.com/watch?v=zK2G4iIbN_s,730,2025-12-09T16:31:50+00:00
UC3DlDcaefUYr-1skxaiLxVw,Joxy,Trending,820000,44379033,206,8,530980.5,534162.5,103.0,0.04,0.0193,54.1208,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,https://www.youtube.com/watch?v=Pdr8E4fz3dU,521522,2025-12-10T10:28:44+00:00
